链接,标题,日期
http://chuansong.me/n/2292317436330,180页PPT为你全解AI技术与产业发展\\xa0|\\xa0清华孙富春教授,2018-04-12
http://chuansong.me/n/2286540336231,大数据值得花金钱、耗时间去学习吗？（内附大数据学习使用说明书）,2018-04-10
http://chuansong.me/n/2286540436217,分享\\xa0：9个实用的Excel小技巧,2018-04-10
http://chuansong.me/n/2286540536324,每年存1.4万，40年后你有多少钱，算完惊呆了！,2018-04-09
http://chuansong.me/n/2286540636320,如何打造数据科学团队，你想知道的都在这里,2018-04-09
http://chuansong.me/n/2284586336419,一文读懂因果推测、倾向模型（结合实例）,2018-04-08
http://chuansong.me/n/2284586436415,人工智能在企业应用中的道德规范,2018-04-08
http://chuansong.me/n/2275214136939,又一重磅嘉宾来袭丨国际人工智能联合会理事长杨强助阵2018品友互动人工智能大会,2018-04-04
http://chuansong.me/n/2275214236915,推荐\\xa0：数据科学面临的共同挑战,2018-04-04
http://chuansong.me/n/2275035536518,企业向机器学习转型所需遵循的五大步骤,2018-04-03
http://chuansong.me/n/2275035636423,算法竞赛|这一次，邀你用数据修炼“炒股新姿势”,2018-04-02
http://chuansong.me/n/2275035736414,数据可视化和信息图成功的要素,2018-04-02
http://chuansong.me/n/2269764936415,数据管理和分析趋势正在改变世界,2018-03-30
http://chuansong.me/n/2269765036436,Python大数据综合应用\\xa0：零基础入门机器学习、深度学习算法原理与案例,2018-03-30
http://chuansong.me/n/2263097136934,AI人才缺口上百万：应届生年薪50万！计算机相关专业就业情况大盘点！,2018-03-29
http://chuansong.me/n/2263097236124,每年存1.4万，40年后你有多少钱，算完惊呆了！,2018-03-28
http://chuansong.me/n/2263097336120,数据科学和机器学习成为美国增长最快的岗位,2018-03-28
http://chuansong.me/n/2259250036030,干货\\xa0：手把手教你Tableau高级数据分析功能（附数据集）,2018-03-26
http://chuansong.me/n/2259250136024,不知怎么入门深度学习？谷歌实验室科学家为你支招！,2018-03-23
http://chuansong.me/n/2259250236020,想成为一名数据科学家？你得先读读这篇文章,2018-03-23
http://chuansong.me/n/2252811836422,推荐\\xa0：数据科学与大数据技术专业特色课程研究,2018-03-22
http://chuansong.me/n/2252811936419,干货\\xa0：\\xa0聚焦于用户行为分析的数据产品,2018-03-22
http://chuansong.me/n/2248931136222,从起源到具体算法，这篇深度学习综述论文送给你,2018-03-20
http://chuansong.me/n/2248931236224,手把手教\\xa0|\\xa0深度学习库PyTorch（附代码）,2018-03-20
http://chuansong.me/n/2246947036628,曾经我是一个只会excel的数据分析师，直到我遇到了……,2018-03-18
http://chuansong.me/n/2246947136619,惊艳全球数据行业的16个数据可视化例子,2018-03-18
http://chuansong.me/n/2240096936124,每年存1.4万，40年后你有多少钱，算完惊呆了！,2018-03-16
http://chuansong.me/n/2240097036124,超级干货\\xa0：手把手教数据可视化工具Tableau,2018-03-16
http://chuansong.me/n/2238013636027,曾经我是一只靠透视表打天下的数据分析师，直到遇见了……,2018-03-15
http://chuansong.me/n/2238013736011,如何从零入门数据科学？,2018-03-15
http://chuansong.me/n/2236392736413,大数据时代的10个重大变革,2018-03-14
http://chuansong.me/n/2236392836422,2018年人工智能、大数据及分析的10大预测,2018-03-14
http://chuansong.me/n/2234071436020,每个数据科学专家都应该知道的六个概率分布,2018-03-12
http://chuansong.me/n/2234071536016,这份深度学习课程笔记获吴恩达点赞,2018-03-12
http://chuansong.me/n/2229087536313,不同的大陆，不同的数据科学,2018-03-08
http://chuansong.me/n/2229087636326,23份区块链行业报告，\\xa0IBM/高盛等众机构深度解析,2018-03-08
http://chuansong.me/n/2220270736025,从小白到年薪10万+，优秀的数据分析能力如何速成？,2018-03-06
http://chuansong.me/n/2220270836016,数据科学领域常用的Python库,2018-03-06
